execution_count,total_worker_time,min_worker_time,max_worker_time,total_physical_reads,min_physical_reads,max_physical_reads,total_logical_reads,min_logical_reads,max_logical_reads,total_logical_writes,min_logical_writes,max_logical_writes,total_clr_time,min_clr_time,max_clr_time,total_elapsed_time,min_elapsed_time,max_elapsed_time,db_name,timestamp,hash
298,170677,365,9760,0,0,0,2086,7,7,0,0,0,0,0,0,170760,365,9761,toystore,10/26/2020 22:33:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
130,263171,1374,185727,0,0,0,4303,33,59,0,0,0,0,0,0,263204,1374,187984,toystore,10/26/2020 22:34:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
275,261884,592,7945,0,0,8,15400,56,56,0,0,0,0,0,0,261952,593,7945,toystore,10/26/2020 22:34:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
287,556458,1478,29871,0,0,56,30709,107,107,0,0,0,0,0,0,556529,1478,45037,toystore,10/26/2020 22:34:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
439299,18416491,17,2526971,1,0,15,506019,1,13,10224,0,5,0,0,0,42249035,17,2528155,toystore,10/26/2020 22:34:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
299,160839,365,9760,0,0,0,2093,7,7,0,0,0,0,0,0,160920,365,9761,toystore,10/26/2020 22:34:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
172,364596,1374,185727,0,0,0,5676,33,59,0,0,0,0,0,0,365769,1374,187984,toystore,10/26/2020 22:35:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
315,316950,592,7945,0,0,8,17640,56,56,0,0,0,0,0,0,317052,593,7945,toystore,10/26/2020 22:35:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
340,749486,1478,29871,0,0,56,36380,107,107,0,0,0,0,0,0,749622,1478,45037,toystore,10/26/2020 22:35:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
508396,16892572,17,2526971,16,0,15,585629,1,13,11826,0,5,0,0,0,17947679,17,2528155,toystore,10/26/2020 22:35:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
306,180157,365,9760,0,0,0,2142,7,7,0,0,0,0,0,0,180248,365,9761,toystore,10/26/2020 22:35:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
146,327978,1374,185727,0,0,0,4818,33,59,0,0,0,0,0,0,329357,1374,187984,toystore,10/26/2020 22:36:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
273,293228,592,7945,0,0,8,15288,56,56,0,0,0,0,0,0,293303,593,7945,toystore,10/26/2020 22:36:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
279,627959,1478,29871,0,0,56,29853,107,107,0,0,0,0,0,0,628104,1478,45037,toystore,10/26/2020 22:36:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
452515,16416231,17,2526971,1,0,15,521246,1,13,10530,0,5,0,0,0,17657542,17,2528155,toystore,10/26/2020 22:36:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
265,157416,365,9760,0,0,0,1855,7,7,0,0,0,0,0,0,157498,365,9761,toystore,10/26/2020 22:36:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
127,292154,1374,185727,0,0,0,4191,33,59,0,0,0,0,0,0,292192,1374,187984,toystore,10/26/2020 22:37:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
258,294546,592,7945,0,0,8,14448,56,56,0,0,0,0,0,0,294624,593,7945,toystore,10/26/2020 22:37:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
206,511544,1478,29871,0,0,56,22042,107,107,0,0,0,0,0,0,511705,1478,45037,toystore,10/26/2020 22:37:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
403580,16012024,17,2526971,1,0,15,464873,1,13,9386,0,5,0,0,0,16930841,17,2528155,toystore,10/26/2020 22:37:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
269,173635,365,9760,0,0,0,1883,7,7,0,0,0,0,0,0,173749,365,9761,toystore,10/26/2020 22:37:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
112,311440,1374,185727,0,0,0,3696,33,59,0,0,0,0,0,0,311489,1374,187984,toystore,10/26/2020 22:38:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
234,297371,592,7945,0,0,8,13104,56,56,0,0,0,0,0,0,297452,593,7945,toystore,10/26/2020 22:38:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
241,665281,1478,29871,0,0,56,25787,107,107,0,0,0,0,0,0,665510,1478,45037,toystore,10/26/2020 22:38:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
368573,18499827,17,2526971,8,0,15,424557,1,13,8588,0,5,0,0,0,40209526,17,2528155,toystore,10/26/2020 22:38:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
265,194070,365,9760,0,0,0,1855,7,7,0,0,0,0,0,0,194170,365,9761,toystore,10/26/2020 22:38:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
95,338765,1374,185727,0,0,0,3135,33,59,0,0,0,0,0,0,347255,1374,187984,toystore,10/26/2020 22:39:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
170,294763,592,10375,0,0,8,9520,56,56,0,0,0,0,0,0,296730,593,12263,toystore,10/26/2020 22:39:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
189,701830,1478,29871,0,0,56,20223,107,107,0,0,0,0,0,0,880223,1478,173383,toystore,10/26/2020 22:39:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
252640,16412355,17,2526971,1,0,15,291016,1,13,5877,0,5,0,0,0,17217871,17,2528155,toystore,10/26/2020 22:39:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
157,160217,365,9760,0,0,0,1099,7,7,0,0,0,0,0,0,162335,365,9761,toystore,10/26/2020 22:39:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
109,427344,1374,185727,0,0,0,3597,33,59,0,0,0,0,0,0,628480,1374,187984,toystore,10/26/2020 22:40:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
137,262031,592,10375,0,0,8,7672,56,56,0,0,0,0,0,0,262103,593,12263,toystore,10/26/2020 22:40:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
152,644128,1478,29871,0,0,56,16264,107,107,0,0,0,0,0,0,663774,1478,173383,toystore,10/26/2020 22:40:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
218261,15960045,17,2526971,1,0,15,251414,1,13,5080,0,5,0,0,0,16943168,17,2528155,toystore,10/26/2020 22:40:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
144,163517,365,9760,0,0,0,1008,7,7,0,0,0,0,0,0,163603,365,9761,toystore,10/26/2020 22:40:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
73,372195,1374,185727,0,0,0,2409,33,59,0,0,0,0,0,0,408840,1374,187984,toystore,10/26/2020 22:41:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
123,295982,592,10375,0,0,8,6888,56,56,0,0,0,0,0,0,300256,593,12263,toystore,10/26/2020 22:41:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
130,877013,1478,175071,0,0,56,13910,107,107,0,0,0,0,0,0,1092465,1478,176220,toystore,10/26/2020 22:41:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
158698,15361221,17,2526971,0,0,15,182814,1,13,3693,0,5,0,0,0,17243687,17,2528155,toystore,10/26/2020 22:41:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
110,169150,365,9760,0,0,0,770,7,7,0,0,0,0,0,0,170799,365,9761,toystore,10/26/2020 22:41:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
60,313022,1374,185727,0,0,0,1980,33,59,0,0,0,0,0,0,323178,1374,187984,toystore,10/26/2020 22:42:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
112,260854,592,10375,0,0,8,6272,56,56,0,0,0,0,0,0,260929,593,12263,toystore,10/26/2020 22:42:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
122,665171,1478,175071,0,0,56,13054,107,107,0,0,0,0,0,0,681393,1478,176220,toystore,10/26/2020 22:42:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
163673,15210309,17,2526971,1,0,15,188529,1,13,3808,0,5,0,0,0,16064298,17,2528155,toystore,10/26/2020 22:42:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
93,129533,365,9760,0,0,0,651,7,7,0,0,0,0,0,0,129602,365,9761,toystore,10/26/2020 22:42:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
72,314873,1374,185727,0,0,0,2376,33,59,0,0,0,0,0,0,320127,1374,187984,toystore,10/26/2020 22:43:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
144,292018,592,10375,0,0,8,8064,56,56,0,0,0,0,0,0,292100,593,12263,toystore,10/26/2020 22:43:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
117,533316,1478,175071,0,0,56,12519,107,107,0,0,0,0,0,0,538713,1478,176220,toystore,10/26/2020 22:43:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
204627,15689649,17,2526971,0,0,15,235703,1,13,4758,0,5,0,0,0,16257665,17,2528155,toystore,10/26/2020 22:43:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
130,158403,365,9760,0,0,0,910,7,7,0,0,0,0,0,0,158484,365,9761,toystore,10/26/2020 22:43:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
77,285602,1374,185727,0,0,0,2541,33,59,0,0,0,0,0,0,292535,1374,187984,toystore,10/26/2020 22:44:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
160,276097,592,10375,0,0,8,8960,56,56,0,0,0,0,0,0,276174,593,12263,toystore,10/26/2020 22:44:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
152,572258,1478,175071,0,0,56,16264,107,107,0,0,0,0,0,0,575338,1478,176220,toystore,10/26/2020 22:44:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
237598,15117201,17,2526971,1,0,15,273689,1,13,5526,0,5,0,0,0,16816113,17,2528155,toystore,10/26/2020 22:44:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
144,148803,365,9760,0,0,0,1008,7,7,0,0,0,0,0,0,148881,365,9761,toystore,10/26/2020 22:44:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
70,220005,1374,185727,0,0,0,2310,33,59,0,0,0,0,0,0,235754,1374,187984,toystore,10/26/2020 22:45:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
182,264317,592,10375,0,0,8,10192,56,56,0,0,0,0,0,0,264390,593,12263,toystore,10/26/2020 22:45:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
181,570699,1478,175071,0,0,56,19367,107,107,0,0,0,0,0,0,573227,1478,176220,toystore,10/26/2020 22:45:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
286472,15950553,17,2526971,1,0,15,329988,1,13,6668,0,5,0,0,0,17073414,17,2528155,toystore,10/26/2020 22:45:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
214,182025,365,9760,0,0,0,1498,7,7,0,0,0,0,0,0,182120,365,9761,toystore,10/26/2020 22:45:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
122,326429,1374,185727,0,0,0,4026,33,59,0,0,0,0,0,0,329103,1374,187984,toystore,10/26/2020 22:46:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
258,332086,592,10375,0,0,8,14448,56,56,0,0,0,0,0,0,332179,593,12263,toystore,10/26/2020 22:46:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
264,724250,1478,175071,0,0,56,28248,107,107,0,0,0,0,0,0,724347,1478,176220,toystore,10/26/2020 22:46:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
336543,17271096,17,2617459,1,0,15,387662,1,13,7840,0,5,0,0,0,42538255,17,2621462,toystore,10/26/2020 22:46:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
251,178865,365,9760,0,0,0,1757,7,7,0,0,0,0,0,0,178972,365,9761,toystore,10/26/2020 22:46:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
136,328601,1374,185727,0,0,0,4488,33,59,0,0,0,0,0,0,328645,1374,187984,toystore,10/26/2020 22:47:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
247,283799,592,10375,0,0,8,13832,56,56,0,0,0,0,0,0,283872,593,12263,toystore,10/26/2020 22:47:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
245,595606,1478,175071,0,0,56,26215,107,107,0,0,0,0,0,0,595682,1478,176220,toystore,10/26/2020 22:47:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
389273,15364155,17,2617459,1,0,15,448409,1,13,9055,0,5,0,0,0,16268929,17,2621462,toystore,10/26/2020 22:47:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
275,177987,365,9760,0,0,0,1925,7,7,0,0,0,0,0,0,178077,365,9761,toystore,10/26/2020 22:47:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
239,252435,592,10375,0,0,8,13384,56,56,0,0,0,0,0,0,252500,593,12263,toystore,10/26/2020 22:48:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
260,585579,1478,175071,0,0,56,27820,107,107,0,0,0,0,0,0,588194,1478,176220,toystore,10/26/2020 22:48:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
415770,15914394,17,2617459,1,0,15,478911,1,13,9672,0,5,0,0,0,17259716,17,2621462,toystore,10/26/2020 22:48:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
248,146552,365,9760,0,0,0,1736,7,7,0,0,0,0,0,0,146627,365,9761,toystore,10/26/2020 22:48:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
128,270911,1374,185727,0,0,0,4224,33,59,0,0,0,0,0,0,270945,1374,187984,toystore,10/26/2020 22:48:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
152,348542,1374,185727,0,0,0,5016,33,59,0,0,0,0,0,0,348716,1374,187984,toystore,10/26/2020 22:49:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
291,300041,592,10375,0,0,8,16296,56,56,0,0,0,0,0,0,300120,593,12263,toystore,10/26/2020 22:49:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
297,663650,1478,175071,0,0,56,31779,107,107,0,0,0,0,0,0,663738,1478,176220,toystore,10/26/2020 22:49:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
438623,15291215,17,2617459,1,0,15,505251,1,13,10203,0,5,0,0,0,16475571,17,2621462,toystore,10/26/2020 22:49:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
294,172102,365,9760,0,0,0,2058,7,7,0,0,0,0,0,0,172191,365,9761,toystore,10/26/2020 22:49:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
129,278075,1374,185727,0,0,0,4257,33,59,0,0,0,0,0,0,278112,1374,187984,toystore,10/26/2020 22:50:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
281,297272,592,10375,0,0,8,15736,56,56,0,0,0,0,0,0,297348,593,12263,toystore,10/26/2020 22:50:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
294,638878,1478,175071,0,0,56,31458,107,107,0,0,0,0,0,0,807343,1478,176220,toystore,10/26/2020 22:50:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
422836,14169408,17,2617459,2,0,15,487066,1,13,9842,0,5,0,0,0,14942683,17,2621462,toystore,10/26/2020 22:50:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
259,144659,365,9760,0,0,0,1813,7,7,0,0,0,0,0,0,144740,365,9761,toystore,10/26/2020 22:50:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
147,309658,1374,185727,0,0,0,4851,33,59,0,0,0,0,0,0,311616,1374,187984,toystore,10/26/2020 22:51:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
252,249243,592,10375,0,0,8,14112,56,56,0,0,0,0,0,0,249304,593,12263,toystore,10/26/2020 22:51:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
273,572541,1478,175071,0,0,56,29211,107,107,0,0,0,0,0,0,572613,1478,176220,toystore,10/26/2020 22:51:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
400972,16800109,17,2675686,1,0,15,461873,1,13,9334,0,5,0,0,0,42035210,17,2677471,toystore,10/26/2020 22:51:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
275,156942,365,9760,0,0,0,1925,7,7,0,0,0,0,0,0,157020,365,9761,toystore,10/26/2020 22:51:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
142,298716,1374,185727,0,0,0,4686,33,59,0,0,0,0,0,0,298837,1374,187984,toystore,10/26/2020 22:52:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
286,288480,592,10375,0,0,8,16016,56,56,0,0,0,0,0,0,288554,593,12263,toystore,10/26/2020 22:52:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
273,560373,1478,175071,0,0,56,29211,107,107,0,0,0,0,0,0,561841,1478,176220,toystore,10/26/2020 22:52:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
429411,14939028,17,2675686,1,0,15,494640,1,13,9990,0,5,0,0,0,16314959,17,2677471,toystore,10/26/2020 22:52:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
288,159516,365,9760,0,0,0,2016,7,7,0,0,0,0,0,0,159595,365,9761,toystore,10/26/2020 22:52:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
135,319512,1374,185727,0,0,0,4455,33,59,0,0,0,0,0,0,321207,1374,187984,toystore,10/26/2020 22:53:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
305,330663,592,10375,0,0,8,17080,56,56,0,0,0,0,0,0,331325,593,12263,toystore,10/26/2020 22:53:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
280,648275,1478,175071,0,0,56,29960,107,107,0,0,0,0,0,0,648366,1478,176220,toystore,10/26/2020 22:53:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
410447,14949272,17,2675686,4,0,15,472834,1,17,9553,0,5,0,0,0,16768382,17,2677471,toystore,10/26/2020 22:53:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
332,205198,365,9760,0,0,0,2324,7,7,0,0,0,0,0,0,205299,365,9761,toystore,10/26/2020 22:53:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
116,346118,1374,185727,0,0,0,3828,33,59,0,0,0,0,0,0,524207,1374,187984,toystore,10/26/2020 22:54:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
236,331715,592,10375,0,0,8,13216,56,56,0,0,0,0,0,0,331803,593,12263,toystore,10/26/2020 22:54:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
209,651550,1478,175071,0,0,56,22363,107,107,0,0,0,0,0,0,673546,1478,176220,toystore,10/26/2020 22:54:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
298235,16869989,17,2675686,1,0,15,343590,1,17,6937,0,5,0,0,0,19088918,17,2677471,toystore,10/26/2020 22:54:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
204,166647,365,9760,0,0,0,1428,7,7,0,0,0,0,0,0,166732,365,9761,toystore,10/26/2020 22:54:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
100,280985,1374,185727,0,0,0,3300,33,59,0,0,0,0,0,0,285130,1374,187984,toystore,10/26/2020 22:55:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
