execution_count,total_worker_time,min_worker_time,max_worker_time,total_physical_reads,min_physical_reads,max_physical_reads,total_logical_reads,min_logical_reads,max_logical_reads,total_logical_writes,min_logical_writes,max_logical_writes,total_clr_time,min_clr_time,max_clr_time,total_elapsed_time,min_elapsed_time,max_elapsed_time,db_name,timestamp,hash
165,342060,1387,185727,0,0,0,5445,33,59,0,0,0,0,0,0,345990,1388,187984,toystore,10/26/2020 22:29:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
307,302192,592,7945,0,0,8,17192,56,56,0,0,0,0,0,0,302271,593,7945,toystore,10/26/2020 22:29:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
355,771258,1478,29871,0,0,56,37985,107,107,0,0,0,0,0,0,799641,1478,45037,toystore,10/26/2020 22:29:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
474824,16283440,17,2227374,16,0,15,546955,1,13,11055,0,5,0,0,0,24780617,17,2392345,toystore,10/26/2020 22:29:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
320,181604,365,9760,0,0,0,2240,7,7,0,0,0,0,0,0,183904,365,9761,toystore,10/26/2020 22:29:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
225,451039,1387,185727,0,0,0,7425,33,59,0,0,0,0,0,0,453304,1388,187984,toystore,10/26/2020 22:30:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
378,345703,592,7945,0,0,8,21168,56,56,0,0,0,0,0,0,345973,593,7945,toystore,10/26/2020 22:30:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
371,751858,1478,29871,0,0,56,39697,107,107,0,0,0,0,0,0,751956,1478,45037,toystore,10/26/2020 22:30:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
556947,16805378,17,2227374,8,0,15,641537,1,13,12957,0,5,0,0,0,17524011,17,2392345,toystore,10/26/2020 22:30:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
401,211095,365,9760,0,0,0,2807,7,7,0,0,0,0,0,0,211204,365,9761,toystore,10/26/2020 22:30:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
164,327441,1387,185727,0,0,0,5412,33,59,0,0,0,0,0,0,327483,1388,187984,toystore,10/26/2020 22:31:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
296,299815,592,7945,0,0,8,16576,56,56,0,0,0,0,0,0,299894,593,7945,toystore,10/26/2020 22:31:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
286,594402,1478,29871,0,0,56,30602,107,107,0,0,0,0,0,0,594479,1478,45037,toystore,10/26/2020 22:31:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
441747,14608191,17,2227374,2,0,15,508842,1,13,10275,0,5,0,0,0,15927501,17,2392345,toystore,10/26/2020 22:31:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
267,149527,365,9760,0,0,0,1869,7,7,0,0,0,0,0,0,149617,365,9761,toystore,10/26/2020 22:31:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
140,309689,1374,185727,0,0,0,4620,33,59,0,0,0,0,0,0,309730,1374,187984,toystore,10/26/2020 22:32:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
316,332264,592,7945,0,0,8,17696,56,56,0,0,0,0,0,0,332501,593,7945,toystore,10/26/2020 22:32:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
304,684477,1478,29871,0,0,56,32528,107,107,0,0,0,0,0,0,684567,1478,45037,toystore,10/26/2020 22:32:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
457297,17759330,17,2227374,8,0,15,526759,1,13,10648,0,5,0,0,0,36348379,17,2392345,toystore,10/26/2020 22:32:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
321,196961,365,9760,0,0,0,2247,7,7,0,0,0,0,0,0,197170,365,9761,toystore,10/26/2020 22:32:04,f8276b14e65d9c54b4982d536b0d0abd04cf67af914fbb7832fb959fe2e66d6b
141,298049,1374,185727,0,0,0,4653,33,59,0,0,0,0,0,0,298088,1374,187984,toystore,10/26/2020 22:33:04,e94ca13543f85939705949f1d84801b7b3dc7e4cdfa7511be95686afef6d5a28
304,304829,592,7945,0,0,8,17024,56,56,0,0,0,0,0,0,304977,593,7945,toystore,10/26/2020 22:33:04,2d73a6734cca3ebaa7c57b98442934c5a2e0d077bb913a3d6520a152a1012552
304,642658,1478,29871,0,0,56,32528,107,107,0,0,0,0,0,0,642741,1478,45037,toystore,10/26/2020 22:33:04,f747232b5f28a0c4adef63658617776d40a92f0b1c5c32d88001f027594d78bd
429327,15105757,17,2227374,1,0,15,494544,1,13,9991,0,5,0,0,0,16091862,17,2392345,toystore,10/26/2020 22:33:04,4f49d38a3bf2589679682130fa41561f1c23e0486844bd3aee011e84bae6c0e1
